,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
0,Boaz+Tirosh,@tiroshboaz,Boaz Tirosh,Information Security Researcher,,59,346,0.26749724323115964
1,Bob+Meek,@newsbridge,Bob Meek,"writer (HHH, Dayton-Hudson, Joan Growe, Tonka, Citizens Jury, Super Lawyers), researcher (Vance Opperman), commentator (MPR, BelAhdan)",Saint Paul (Como Park),7,0,0.02920787554048149
2,Bob+Phillips,@FMresearchplcy,Bob Phillips,"VP for Research & Policy @ American Board of Family Medicine                                               Professor of Family Medicine, Georgetown University",United States,522,449,1.3557124234824698
3,Bob+Siegerink,@BobSiegerink,bob siegerink,"Clinical epidemiologist with lab training. Interested in Quality and Integrity of science, methods, stroke, and hemostasis. 

ORCID: https://t.co/HQQurrwreZ…","Leiden, the Netherlands",1216,2318,8.557656387602831
4,Bob+Zhang,@yibo23,Bob Zhang,PhD candidate at University of Waterloo,Waterloo,3,0,0.025402733428876435
5,Bobby+A.+Tajudeen,@BobbyTajudeenMD,Bobby Tajudeen,"Rhinologist (nose, sinus and allergy) & Skull Base surgeon (tumors of the nose, sinus and skull) at Rush University Medical Center","Chicago, IL",33,17,0.3538183755822225
6,Bodil+Rasmussen,@BodilSRasmussen,Bodil S. Rasmussen,"Clinical Professor, Anaesthesia and Intensive Care • Research: Oxygen, Acute Lung Injury, Metabolomics • Rowing OLY, Cycling, Nature • Aalborg, Denmark",,253,230,1.6114337532581744
7,Bogdan+I.+Iorga,@IorgaBI,Bogdan I. Iorga,"Computational chemist and team leader @ICSN_lab @INC_CNRS @CNRS. Drug design, antibiotic resistance, docking, MD, QM. Views are mine. RT is not endorsement.",France,199,97,0.8544935460658966
8,Bogdan+Tudor+Tulbure,@BogdanTTulbure,Bogdan Tudor Tulbure,"Associate Professor at West University of Timisoara, Psychology Department","Timişoara, România",15,204,0.09665790093087871
9,Bogdan+Draganski,@BogdanDraganski,Bogdan Draganski,Clinical neuroscientist working on brain plasticity in health and disease. Head of neuroimaging lab LREN.,University Lausanne,622,589,1.8498681220313797
10,Bogdan+Enache,@bogdienache,Bogdan Enache,Curious. EPcurious. | Cardiologist @hopitalMonaco | Cardiovascular Outcomes @LSEHealthPolicy 2018-21,Monaco / Romania,2245,2306,21.796122801066417
11,Bogdan+Obrisca,@BObrisca,Bogdan Obrisca,"Nephrologist, Fundeni Clinical Institute Assistant Professor, Carol Davila University of Medicine and Pharmacy","Bucarest, Roumanie",132,170,1.1177202708705631
12,Bohyun+Park,@Bohyun_Park_,Bohyun Park,"Intergrated Master&PhD in dept. Chemistry @ KAIST/IBS-CCHF
Comp. chem.","Daejeon, Republic of Korea",34,105,0.2590258023457183
13,Bokai+Zhu,@LabZhu,Bokai Zhu lab,"The Zhu lab studies the moon/tide-related 12h mammalian ultradian clock; xbp1, proteostasis, epigenetic, metabolism, aging are the key words. @AgingPitt","Aging Institute, Divison of Endocrinology and Metabolism, Department of Medicine,Univeristy of Pittsburgh School of Medicine  ",257,436,1.3964748615895468
14,Bolaji+N.+Thomas,@thomaslabRIT,Bolaji Thomas,"Professor of Biomedical Sciences, Rochester Institute of Technology",Pittsford NY,68,56,0.360925655653649
15,Bolaji+N+Thomas,@thomaslabRIT,Bolaji Thomas,"Professor of Biomedical Sciences, Rochester Institute of Technology",Pittsford NY,68,56,0.4051252455937224
